Folio,year,Trim,Unidad,cd_mue,punt_mue,turno,p1,p2,p3,p4g,p4n,p5,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3,p9_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p10,P10_Otro,p11,P11_Otro,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3e,p11_3c,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p13_1,p14,p15,p15_1,p16,p17,p17_1,p17_2,p17_2_1,p17_3,p18,p19,p19_1c,p19_1u,p19_2,p20,p21e1,p21c1,P21U1,p21e2,p21c2,P21U2,p22_1,p22_2,p23e,p23m,p23c,P23U,p24_1,p24_2,p24_3,p24_4,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2,p26,p27,p28,p28_1,p29e,p29m,p29c,P29U,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,P30_Otro,p30_1,p31,p31_1,p31_2,p32,p33,p34,p34_1,p35,p36,p36_1,p37c,p37t,p38,p38_1,p38_2,p38_3,p39,p40c,p40t,p41c,p41u,p41_1,p42,p43e,p43m,p43c,P43U,p44,p45,p45_1,p46c,p46t,p47,p48,p48_1,p49,p50,p50_1,p51,p52m,p52a,p53,p54,p55,p56,p57,p58,p59_1,p59_2,p59_3,p59_4,p59_5,p59_6,p60_1,p60_2,p60_3,p60_4,p60_5,p60_6,p60_7,Ponfin3,filtro,m1_1,m1_2,m1_3,m1_4,m1_5,m1_6,m1_7,m1_8,m1_9,m1_10,m1_11,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m4_7,m4_8,m4_9,m4_10,m4_11,m5,m6,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_7,m7_8,m7_9,m7_10,m7_11
780,2014,2,271405,1,1,1,2,23,1,3,4,2,2,-1,6,2,2,6,2,2,2,2,5,8,5,8,2,1,2,2,1,-9,1,-9,5,509,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,421,1,2,2,2,2,2,2,2,2,8,5,2500,1,5,462,2,1,1,1705016,2,-2,1,2,5,0,-3,2,6,1,5000,3,7,3,27,270040001,2,30,300390001,2,0,96,30,30039,300390001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,1,1,34,1,1,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,13.76515006,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112,2014,1,221401,1,1,1,1,34,1,6,2,2,2,-1,1,1,-1,5,3,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,2,202,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,8,7,70890001,2,7,70650001,2,0,96,7,7065,70650001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,48,2,-5,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,13.31412845,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
180,2014,1,81402,1,1,1,1,27,1,6,2,2,2,-1,6,2,2,5,1,2,2,1,1,8,1,8,2,1,2,2,1,-9,1,-9,4,405,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,100,1,2,111,2,1,1,1217001,2,-2,2,2,2,0,-3,2,1,2,-2,-2,-2,8,7,70890001,2,7,70650001,2,4,14,11,11007,110070001,2,1,2,2,2,1,2,1,2,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,11.86079136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
187,2014,1,81402,1,1,1,1,40,1,3,2,2,2,-1,5,1,-1,9,4,3,3,1,1,1,1,1,2,1,2,2,1,-9,1,-9,13,1324,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,120,1,2,111,2,1,1,1705016,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,98,98,999999999,99,98,999999999,99,98,98,98,99999,999999999,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99999,999999999,99,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,11.86079136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
333,2014,1,21403,1,1,1,1,28,1,6,2,2,2,-1,5,1,-1,5,3,1,1,1,1,1,5,1,2,1,2,2,1,-9,1,-9,4,402,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,120,1,2,111,2,1,1,1312047,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70190001,2,7,71010001,2,0,96,7,7101,71010001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,12.20635953, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
377,2014,1,121403,1,1,1,1,25,1,1,3,2,2,-1,5,1,-1,5,2,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,3,301,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1705016,2,-2,2,1,-2,-2,-2,-2,6,2,-2,-2,-2,3,27,270170001,2,7,70650001,2,2,14,30,30039,300390001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,22.31701531, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
388,2014,1,121403,1,1,1,1,20,1,6,2,2,2,-1,6,2,2,8,3,3,3,2,1,8,1,8,2,1,2,2,1,-9,1,-9,3,301,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,5,120,1,2,111,1,1,1,1705016,2,-2,1,2,2,0,-3,2,3,2,-2,-2,-2,3,27,270170001,2,97,999999997,97,0,96,27,27017,270170001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,99999,999999999,99,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,22.31701531, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
507,2014,2,81404,1,1,1,1,46,2,0,1,2,2,-1,1,1,-1,5,3,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,5,512,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,100,1,2,111,1,1,1,1705016,2,-2,1,1,-2,-2,-2,-2,6,2,-2,-2,-2,3,27,270170001,2,7,70650001,2,0,96,9,9003,90030001,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,8.349423008, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
536,2014,2,111404,1,1,1,1,26,1,6,2,2,2,-1,6,2,2,6,2,3,3,1,1,8,1,8,2,1,2,2,1,-9,1,-9,15,1503,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,150,1,2,111,1,1,1,1217001,2,-2,1,2,2,0,-3,2,1,2,-2,-2,-2,3,7,70890001,2,9,90030001,2,0,96,9,9003,90030001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,20.72007548, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
542,2014,2,111404,1,1,1,1,21,1,2,2,2,2,-1,6,2,2,8,3,5,5,2,1,8,5,8,2,1,2,2,1,-9,1,-9,15,1503,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,7,700,1,3,111,1,1,1,1705016,2,-2,1,2,3,0,-3,3,3,2,-2,-2,-2,3,7,70650001,2,30,300390001,2,0,96,30,30174,301740001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,20.72007548, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
553,2014,2,131404,1,1,1,1,30,1,6,2,2,2,-1,1,1,-1,5,3,2,2,1,1,1,1,1,2,1,2,2,1,-9,1,-9,3,310,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,150,1,2,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,97,999999998,98,0,96,7,7089,70890001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,48,2,-5,0,5,1,2,1,2,1,3,2,1000,3,1,3,7,7089,70890001,2,2,1,2,2,2,2,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,25.68426023,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
631,2014,2,271404,1,1,1,1,43,1,6,2,2,2,-1,1,1,-1,5,2,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,10,1003,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,100,1,2,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,8,7,70890001,2,7,70370001,1,0,96,9,9007,90070001,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,48,2,-5,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,12.39367478,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
709,2014,2,171405,1,1,1,1,46,1,6,2,2,2,-1,5,1,-1,6,4,2,2,1,1,1,1,1,2,1,2,2,1,-9,1,-9,16,1620,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,2,2,4,0,-3,4,1,2,-2,-2,-2,98,98,999999998,98,98,999999998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,11.44031518, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
755,2014,2,241405,1,1,1,1,31,1,6,2,2,2,-1,1,1,-1,5,3,1,1,98,1,1,1,1,2,1,2,2,1,-9,1,-9,16,1618,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,2,2,1,0,-3,1,1,2,-2,-2,-2,3,7,70890001,2,7,71010001,2,0,96,15,15035,150350001,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,8.945810365,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
760,2014,2,241405,1,1,1,1,29,1,6,2,2,2,-1,6,2,2,6,1,4,4,1,1,8,1,8,2,1,2,2,1,-9,1,-9,5,508,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,120,1,2,111,1,1,1,1705016,2,-2,1,1,-2,-2,-2,-2,6,2,-2,-2,-2,3,27,270040001,2,27,270040166,2,0,96,30,30039,300390001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,20,2,-5,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,8.945810365,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
