,year,sex,age,read_write,head_house,home_dept,mex_port,trans_crossm,coyote_usd,trans_crossu,reason,fellow_trav,country,deported,first_citynew,second_citynew,long_citynew,us_entrynew,mex_port_lat,mex_port_long,us_entry_lat,us_entry_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long
283,2017,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Intubucá,"Carmen Xhán, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,5,El Salvador,USA,"Heróica Puebla de Zaragoza , Puebla","Villahermosa , Tabasco","Reynosa , Tamaulipas","Reynosa , Tamaulipas",16.043086,-91.755012,25.836636,-98.370859,15.6851709,-93.2122536,16.7516009,-93.1029939,16.7516009,-93.1029939
284,2017,Hombre,30,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Francisco Morazán,"Cuauhtémoc, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Zacatecas , Zacatecas","Álvaro Obregón , Distrito Federal","Zacatecas , Zacatecas","Juárez , Chihuahua",15.665483,-92.003579,31.452227,-106.449726,15.137663,-92.46591889999999,21.9985181,-99.64248719999999,21.9985181,-99.64248719999999
285,2017,Hombre,28,No,No,Copan,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,400,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,9,El Salvador,USA,"Ciudad Ixtepec , Oaxaca","Reynosa , Tamaulipas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.7516009,-93.1029939,19.3437444,-99.1561883,22.1564699,-100.9855409
287,2017,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,"Talismán, Chiapas","Balsas (cámaras de llanta, tambos, maderos)",4000,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,6,El Salvador,USA,"Tuxtla Gutiérrez , Chiapas","Heróica Puebla de Zaragoza , Puebla","Monterrey , Nuevo León","Reynosa , Tamaulipas",14.962768,-92.148176,25.836636,-98.370859,14.9055599,-92.26342059999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
288,2017,Hombre,29,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Intubucá,"Ciudad Hidalgo, Chiapas","Balsas (cámaras de llanta, tambos, maderos)",3500,"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,1,El Salvador,USA,"Acayucan , Veracruz de Ignacio de la Llave","Monterrey , Nuevo León","Zacatecas , Zacatecas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,16.2371385,-93.8986279,16.2371385,-93.8986279
289,2017,Hombre,33,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Francisco Morazán,"Carmen Xhán, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,10,El Salvador,USA,"Chihuahua , Chihuahua","Tapachula de Córdova y Ordóñez , Chiapas","Azcapotzalco , Distrito Federal","Nuevo Laredo , Tamaulipas",16.043086,-91.755012,27.41546,-99.541843,14.9055599,-92.26342059999999,17.989456,-92.9475061,17.989456,-92.9475061
290,2017,Hombre,21,Sí,Sí,Cortés,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,3,El Salvador,USA,"Reynosa , Tamaulipas","Coyoacán , Distrito Federal","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,19.173773,-96.1342241,19.173773,-96.1342241
291,2017,Mujer,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Islas de la Bahía,"Ciudad Hidalgo, Chiapas","Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5,El Salvador,USA,"Tapachula de Córdova y Ordóñez , Chiapas","Reynosa , Tamaulipas","Veracruz , Veracruz de Ignacio de la Llave","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,16.0869461,-93.7612856,16.5611267,-95.0963141
292,2017,Mujer,53,No,Sí,Choluteca,"Cuauhtémoc, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5,El Salvador,USA,"Reynosa , Tamaulipas","Tapachula de Córdova y Ordóñez , Chiapas","Reynosa , Tamaulipas","Nuevo Laredo , Tamaulipas",15.665483,-92.003579,27.41546,-99.541843,14.9055599,-92.26342059999999,22.1564699,-100.9855409,22.1564699,-100.9855409
293,2017,Mujer,23,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,4000,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,3,El Salvador,USA,"Arriaga , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,22.1564699,-100.9855409,22.1564699,-100.9855409
