,year,sex,age,read_write,head_house,home_dept,mex_port,fellow_travs,trans_crossm,coyote_usd,country,deported,first_citynew,second_citynew,long_citynew,deported_place,mex_port_lat,mex_port_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long,deported_lat,deported_long
23,2017,Hombre,34,Aprobó de básicos-secundaria en adelante,No,Ocotepeque,"Cuauhtémoc, Chiapas",3,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",15.665483,-92.003579,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
24,2017,Hombre,39,Sí,Sí,La Paz,"Frontera Corozal, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",16.814734,-90.884703,16.2371385,-93.8986279,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
25,2017,Hombre,21,Aprobó de básicos-secundaria en adelante,No,Cortés,"El Ceibo, Tabasco",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",17.261546,-90.994378,16.2371385,-93.8986279,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
26,2017,Hombre,28,Aprobó de básicos-secundaria en adelante,Sí,Ocotepeque,"Frontera Corozal, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Palenque , Chiapas","Veracruz , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",16.814734,-90.884703,17.5229209,-91.9872616,19.173773,-96.1342241,17.949192,-94.91459739999999,17.949192,-94.91459739999999
27,2017,Hombre,34,Aprobó de básicos-secundaria en adelante,No,Atlántida,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Arriaga , Chiapas","Arriaga , Chiapas","Arriaga, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279
28,2017,Hombre,27,Aprobó de básicos-secundaria en adelante,No,La Paz,"Frontera Corozal, Chiapas",En este viaje iba solo(a),"Balsas (cámaras de llanta, tambos, maderos)",En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Chiapa de Corzo , Chiapas","Tuxtla Gutiérrez , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",16.814734,-90.884703,16.7021616,-93.0081378,16.7516009,-93.1029939,17.949192,-94.91459739999999,17.949192,-94.91459739999999
29,2017,Hombre,45,Aprobó de básicos-secundaria en adelante,Sí,Colón,"Ciudad Hidalgo, Chiapas",4,Autobús o camioneta,7000,El Salvador,Mexico,"Heróica Puebla de Zaragoza , Puebla","Monterrey , Nuevo León","Monterrey , Nuevo León","Nuevo Laredo, Tamaulipas",14.679726,-92.150326,19.0414398,-98.2062727,25.6866142,-100.3161126,25.6866142,-100.3161126,27.4779362,-99.549573
30,2017,Hombre,28,Aprobó de básicos-secundaria en adelante,Sí,Copan,"Cuauhtémoc, Chiapas",En este viaje iba solo(a),Ninguno (caminando o nadando),En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tuxtla Gutiérrez , Chiapas","Arriaga , Chiapas","Tuxtla Gutiérrez , Chiapas","Acayucan, Veracruz de Ignacio de la Llave",15.665483,-92.003579,16.7516009,-93.1029939,16.2371385,-93.8986279,16.7516009,-93.1029939,17.949192,-94.91459739999999
31,2017,Hombre,18,Aprobó de básicos-secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Acayucan , Veracruz de Ignacio de la Llave","Arriaga , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",14.679726,-92.150326,17.949192,-94.91459739999999,16.2371385,-93.8986279,17.949192,-94.91459739999999,17.949192,-94.91459739999999
32,2017,Hombre,32,Sí,Sí,Choluteca,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),"Balsas (cámaras de llanta, tambos, maderos)",En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Arriaga , Chiapas","Arriaga , Chiapas","Arriaga, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279
