"","folio","year","trim","unidad","ciudad","punto","turno","sexo","edad","pasmex","p1a","p1n","p2","p3","p3_1","p3_2","p4","p4_1","p5","p6","p6_1","p7","p7_1","p7_2","p7_3_1","p7_3_2","p7_3_3","p7_3_4","p7_4","p7_4_1","p8","p8_1","p9_1","p9_2","p9_3","p10p","p11p","p11_1d","p11_1m","p11_1u","p11_2e","p11_2m","p11_2l","p11_2u","p11_3es","p11_3cn","p11_3cd","p12c","p12t","p13","p13_1","p13_2","p13_2_1","p13_4","p13_5","p13_6_1","p13_6_2","p13_6_3","p13_6_4","p13_6_5","p13_6_6","p13_6_7","p13_6_8","p13_7","p13_8","p13_9c","p13_9u","p13_9t","p13_10","p13_11","p13_12_1","p13_12_2","p14","p14_1","p15","p16","p16_1","p17","p17_1c","p17_1u","p18_1","p18_2","p18_3","p18_4","p18_5","p18_6","p18_7","p18_8","p18_9","p18_10","p18_11","p18_12","p18_13","p18_14","p19_1e","p19_1l","p19_1u","p19_2e","p19_2l","p19_2u","p20e","p20l","p20u","p21c","p21t","p22","p22_1","p22_2e","p22_2m","p22_2l","p22_2u","p22_4","p22_5","p23_1","p23_2","p23_3","p23_4","p23_5","p23_6","p24_0_1","p24_0_2","p24_0_3","p24_0_4","p24_0_5","p24_0_6","p24_0_7","p24_1_1","p24_1_2","p24_1_3","p24_1_4","p24_1_5","p24_1_6","p24_1_7","p24_2_1","p24_2_2","p24_2_3","p24_2_4","p24_2_5","p24_2_6","p24_2_7","p24_2_8","p25","p25_1_1","p25_1_2","p25_1_3","p25_1_4","p25_1_5","p25_1_6","p25_1_7","p25_1_8","p25_2","p26","p26_1c","p26_1t","p26_2","p26_3","p27","p27_1c","p27_1u","p27_1_1","p27_2","p28c","p28u","p28_1","p29_1","p29_2","p29_3","p29_4","p29_5","p29_6","p29_7","p29_8","p29_9","p29_10","p29_11","p29_12","p29_13","p30","p31","p31_1","p31_2","p32","p32_1","p33","p33_1","p33_1_1","p33_1_2","p33_1_3","p33_2","p34","p35es","p35cn","p35cd","p35_1","p35_1_1","p35_2","p35_2_1_1","p35_2_1_2","p35_2_1_3","p35_2_1_4","p35_2_1_5","p35_2_1_6","p35_2_2","p35_3_1","p35_3_2","p35_3_3","p35_3_4","p35_3_5","p35_3_6","p35_3_7","p35_4c","p35_4t","p35_5","p35_6","p35_7","p35_8","p36es","p36cn","p36cd","p37c","p37t","p38","p38_2","p38_2_1","p38_2_2","p38_3c","p38_3u","p38_3t","p38_4","p38_5","p38_5_1_1","p38_5_1_2","p38_5_1_3","p38_5_1_4","p38_5_1_5","p38_5_1_6","p38_5_1_7","p38_5_1_8","p38_5_1_9","p38_5_1_10","p39","p39_1","p39_2_1","p39_2_2","p40","p41","p42","p43","p43_1","p43_2","p44","p44_1","p45","p46m","p46a","p47","p48","p48_1","p49","p50","p50_1","filtro","ponfin3","pais","deported"
"1:3554",55812,2017,4,221712,1,1,1,1,32,1,0,0,2,1,1,2,2,-3,6,1,-4,1,-5,-5,1,0,5,1,2,-7,2,2,2,2,1,1,5,-10,-10,-10,-10,-10,-10,-10,28,99999,9999999999,12,4,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,2,96,1,1312047,3,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,260040001,1,9,999999999,99,26,260040001,1,15,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,2,2,1,4,1,2000,3,4,3,3500,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,97,2,2,-32,0,-33,-33,-33,-33,-33,-33,28,99999,9999999999,3,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,4,1,2,2,4,28,99999,9999999999,12,5,1,814,10,5,99999,99,99,113,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,24,300,4,5,1,0,-45,-45,-45,-45,1,-48,-48,8,2005,0,0,-51,1,-52,-52,1,21.34697345,"Guatemala","USA"
"1:3555",55910,2017,4,251710,1,1,1,1,38,1,6,1,1,2,2,2,1,3,5,1,-4,3,2,1,1,3,1,3,1,1,2,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,9,9001,900108000,17,4,1,-14,1,-16,511,1,2,2,2,2,2,2,2,2,10,6,17,3,1,722,2,2,96,1,1705004,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,270040001,2,8,999999999,99,8,80370001,2,1,4,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,80370001,15,2,1,2,1,1300,3,2,3,2800,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,13,0,-34,-34,-34,0,13,9,9001,900108000,2,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,15,2,1,1,2,4,9,9001,900108000,17,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,500,4,2,1,0,-45,-45,-45,-45,1,-48,-48,2,2000,0,0,-51,1,-52,-52,1,18.32240946,"Guatemala","USA"
"1:3556",55911,2017,4,241711,1,1,1,2,18,1,2,3,-2,1,1,2,2,-3,6,2,2,5,2,2,1,0,1,0,-6,-6,2,2,2,2,2,1,1,14,1414,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,2,96,1,1312047,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,301930001,2,28,280320001,2,28,280320001,2,25,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,3,2,1,2,2,-29,-29,-29,-29,25000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,16,3,3,-35,5,0,16,48,48215,4821545384,4,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,1,2,4,48,48215,4821545384,1,3,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,10,2017,0,0,-51,1,-52,-52,1,10.34648919,"Guatemala","USA"
"1:3557",56010,2017,4,251710,1,1,1,1,23,1,3,2,-2,2,2,2,2,-3,6,2,2,8,2,2,1,0,1,0,-6,-6,3,2,1,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,31,99997,9999999997,3,4,1,-14,1,-16,612,1,2,2,2,2,2,2,2,2,10,6,10,3,1,112,2,2,96,1,1312047,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,260040001,1,21,211140001,2,26,260040001,1,12,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,3,2,1,2,1,1000,3,2,3,2500,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,3,0,-34,-34,-34,0,3,31,99997,9999999997,3,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,1,2,4,31,99997,9999999997,3,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,300,4,96,2,0,-45,-45,-45,-45,1,-48,-48,5,2014,0,0,-51,1,-52,-52,1,18.32240946,"Guatemala","USA"
"1:3558",56011,2017,4,241711,1,1,1,1,50,1,0,0,2,1,1,2,2,-3,5,1,-4,2,1,1,0,1,1,1,2,-7,3,2,2,2,2,1,1,14,1412,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,2,96,1,1305024,0,2,-19,1,50000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280320001,2,27,270170001,2,28,280320001,2,17,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,4,2,1,3,2,-29,-29,-29,-29,20000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,4,0,-34,-34,-34,0,4,48,48215,4821545384,4,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,15,2,1,1,2,4,48,48215,4821545384,15,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,3,3,2017,11,2017,0,0,-51,3,3,2,1,17.3275275,"Guatemala","USA"
"1:3559",56111,2017,4,241711,1,1,1,2,45,1,1,1,1,1,1,2,2,-3,1,2,1,8,1,2,0,1,1,1,2,-7,3,2,2,2,2,1,1,14,1412,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,6,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,2,96,1,1305024,0,2,-19,1,99997,97,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280320001,2,7,71010001,2,28,280320001,2,5,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,5,1,2,-28,2,-29,-29,-29,-29,99997,97,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,17,0,-34,-34,-34,0,14,48,48215,4821545384,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,1,1,2,4,48,48215,4821545384,9,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,2,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,1,-52,-52,1,10.34648919,"Guatemala","USA"
"1:3560",56112,2017,4,221712,1,1,1,1,27,1,6,1,1,1,1,2,2,-3,5,1,-4,3,1,1,1,1,1,1,2,-7,3,2,1,2,2,1,1,17,1710,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,611,2,2,2,2,2,2,2,2,2,8,6,80,1,2,111,2,1,96,1,1312047,0,2,-19,1,50000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,260040001,1,21,211140001,2,21,211140001,2,1,3,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,2,2,1,4,2,-29,-29,-29,-29,20000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,18,0,-34,-34,-34,0,18,4,4013,401355000,4,4,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,15,2,1,1,2,4,4,4013,401355000,15,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,12,2017,0,0,-51,1,-52,-52,1,21.34697345,"Guatemala","USA"
"1:3561",56212,2017,4,221712,1,1,1,2,19,1,2,1,1,2,2,2,2,-3,6,2,2,4,2,2,1,0,1,0,-6,-6,3,2,2,2,2,1,1,20,2007,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,6,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,1,1312047,0,2,-19,1,99997,97,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,260040001,1,7,71010001,2,26,260040001,1,11,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,2,2,1,2,2,-29,-29,-29,-29,99997,97,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,3,0,-34,-34,-34,0,3,4,4013,401355000,4,4,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,17,2,1,1,2,4,4,4013,401355000,17,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,1,-52,-52,1,12.74655198,"Guatemala","USA"
"1:3562",56312,2017,4,221712,1,1,1,1,24,1,3,2,-2,2,2,2,2,-3,5,1,-4,5,1,1,1,1,5,1,2,-7,3,2,1,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,48,48215,4821545384,2,4,1,-14,1,-16,531,1,2,2,2,2,2,2,2,2,8,6,120,3,2,811,2,2,96,1,1217001,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,28,280320001,2,28,280320001,2,12,2,2,2,-22,-22,-22,-22,-22,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,2,2,1,2,1,800,3,2,3,4000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,8,0,-34,-34,-34,0,8,48,48215,4821545384,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,2,1,1,2,4,48,48215,4821545384,2,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,1100,4,5,1,0,-45,-45,-45,-45,2,2,2014,5,2015,2,2,0,2,1,2,1,21.34697345,"Guatemala","USA"
"1:3563",56411,2017,4,241711,1,1,1,1,26,1,6,1,1,2,2,2,2,-3,1,1,-4,3,1,1,1,1,1,1,2,-7,2,2,2,2,2,1,1,12,1213,98,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1305024,3,2,-19,1,25000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,14,140390001,2,26,260430001,2,11,4,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260430001,15,2,1,3,1,25000,1,1,1,25000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-31,2,-32,6,0,-34,-34,-34,0,6,48,48215,4821545384,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,4,48,48215,4821545384,8,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,1,-52,-52,1,17.3275275,"Guatemala","USA"
"1:3564",56412,2017,4,221712,1,1,1,1,29,1,2,3,-2,2,2,2,1,3,5,1,-4,2,2,1,1,1,1,0,-6,-6,3,2,2,2,2,1,1,16,1601,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,611,2,2,2,2,2,2,2,2,2,8,6,45,1,2,111,2,1,96,1,1705004,0,2,-19,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,999999998,98,98,999999998,98,98,999999998,98,998,98,98,98,98,99998,999999998,98,998,998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,999999998,998,98,98,98,98,99998,98,98,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,9999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,98,98,98,98,98,98,99998,9999999998,998,98,98,998,98,98,99998,98,98,998,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,998,9998,9998,98,98,98,98,9998,98,9998,98,98,98,98,98,98,1,21.34697345,"Guatemala","USA"
"1:3565",56511,2017,4,241711,1,1,1,2,18,1,1,2,-2,1,1,2,2,-3,6,2,2,5,2,2,1,0,1,0,-6,-6,2,2,2,2,2,1,1,14,1414,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,6,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,1,1312047,3,2,-19,1,16000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,301930001,2,21,211140001,2,28,280320001,2,25,2,2,2,-22,-22,-22,-22,-22,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,3,2,1,3,1,16000,1,1,1,16000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,97,97,2,-32,16,0,-34,-34,-34,0,16,48,48215,4821545384,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,4,48,48215,4821545384,7,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,1,-52,-52,1,10.34648919,"Guatemala","USA"
"1:3566",56512,2017,4,221712,1,1,1,1,19,1,3,2,-2,2,2,2,2,-3,5,1,-4,3,1,1,1,1,5,1,2,-7,3,2,2,2,2,1,1,9,920,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,511,1,2,2,2,2,2,2,2,2,10,6,1000,1,4,722,2,1,96,1,1215013,0,2,-19,1,6000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,28,280320001,2,28,280320001,2,40,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,1,4,1,3,2,-29,-29,-29,-29,4000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,2,0,-34,-34,-34,0,2,48,48215,4821545384,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,2,1,1,2,2,48,48215,4821545384,15,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,2,2,2,1,21.34697345,"Guatemala","USA"
"1:3567",56611,2017,4,241711,1,1,1,1,25,1,3,2,-2,1,1,2,2,-3,5,1,-4,4,1,1,1,1,1,1,2,-7,2,2,2,2,2,1,1,14,1419,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,611,1,2,2,1,1,2,2,2,2,12,6,1500,1,4,111,2,2,96,1,1420059,4,2,-19,1,25000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70120001,2,28,280320001,2,28,280320001,2,6,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,3,2,1,4,1,25000,1,1,1,25000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,97,97,2,-32,12,0,-34,-34,-34,0,12,48,48215,4821545384,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,2,2,2,2,2,48,48215,4821545384,75,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,8,2017,0,0,-51,1,-52,-52,1,17.3275275,"Guatemala","USA"
"1:3568",56612,2017,4,221712,1,1,1,1,30,1,2,3,-2,2,2,2,1,3,5,1,-4,4,2,1,1,3,1,3,1,2,3,2,2,2,1,1,5,-10,-10,-10,-10,-10,-10,-10,12,12099,9999999998,5,4,1,-14,1,-16,922,1,2,2,2,2,2,2,2,2,10,6,18,3,1,236,2,2,96,1,1312047,0,1,2,1,20000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,26,260550001,2,26,260550001,2,6,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260550001,1,2,1,2,2,-29,-29,-29,-29,20000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,11,10,3,-35,5,0,11,12,12099,9999999998,3,4,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,4,4,1,1,2,4,12,12099,9999999998,5,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,1000,2,96,1,0,-45,-45,-45,-45,1,-48,-48,11,2012,0,0,-51,1,-52,-52,1,21.34697345,"Guatemala","USA"
"1:3569",56711,2017,4,241711,1,1,1,1,38,1,6,1,1,2,2,2,2,-3,5,1,-4,7,2,1,1,1,1,1,2,-7,3,2,1,2,2,1,1,4,403,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1312047,3,2,-19,1,35000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70780001,2,30,300300001,2,28,280320001,2,19,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,8,2,1,3,1,35000,1,1,1,35000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-31,2,-32,6,0,-34,-34,-34,6,6,48,48215,4821545384,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,4,48,48215,4821545384,9,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,1,-52,-52,1,17.3275275,"Guatemala","USA"
"1:3570",56712,2017,4,221712,1,1,1,1,33,1,3,2,-2,2,2,2,1,2,6,1,-4,5,2,1,1,0,0,3,1,3,3,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,21,99999,9999999999,15,4,1,-14,1,-16,922,1,2,2,2,2,2,2,2,2,8,5,17,3,1,236,2,1,96,1,1215013,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,30,301930001,2,30,301930001,2,21,2,2,2,-22,-22,-22,-22,-22,-22,1,1,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,15,2,1,2,1,2000,3,2,3,3000,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,0,2,1,2,2,-32,8,0,-34,-34,-34,0,8,21,99999,9999999999,3,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,6,4,1,1,1,4,21,99999,9999999999,15,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,500,4,1,1,0,-45,-45,-45,-45,1,-48,-48,11,2003,0,0,-51,1,-52,-52,1,21.34697345,"Guatemala","USA"
"1:3571",56911,2017,4,241711,1,1,1,2,30,1,3,3,-2,2,2,2,2,-3,1,2,1,5,2,2,1,3,1,1,2,-7,2,2,1,2,2,1,1,17,1712,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,233,1,2,2,1,1,2,2,2,2,5,6,3200,1,5,611,2,1,96,1,1705016,4,2,-19,1,11000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,270040001,2,28,280320001,2,28,280320001,2,8,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,3,2,1,3,1,11008,3,6,1,5000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,-32,8,0,-34,-34,-34,0,8,48,48201,4820135000,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,2,2,2,2,4,48,48201,4820135000,11,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,11,2017,0,0,-51,1,-52,-52,1,10.34648919,"Guatemala","USA"
"1:3572",56912,2017,4,221712,1,1,1,2,18,1,2,3,-2,2,2,2,2,-3,6,2,3,2,1,2,3,0,5,0,-6,-6,3,2,2,2,1,1,1,9,901,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,3,96,1,1305024,0,2,-19,1,99997,97,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,28,280270001,2,28,280270001,2,10,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280270001,1,2,2,-28,2,-29,-29,-29,-29,99997,97,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,2,-31,2,-32,4,0,-34,-34,-34,0,4,48,48215,4821545384,4,4,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,4,4,1,1,1,4,48,48215,4821545384,4,4,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,8,2017,0,0,-51,1,-52,-52,1,12.74655198,"Guatemala","USA"
