,mex_port,mex_port_lat,mex_port_long,index,sum,city_lat,city_long
149,"Talismán, Chiapas",14.962767999999999,-92.148176,"Coatzacoalcos , Veracruz de Ignacio de la Llave",111.0,18.1344779,-94.4589858
150,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"San Luis Potosí , San Luis Potosí",116.0,22.1564699,-100.9855409
151,"El Ceibo, Tabasco",17.261546,-90.994378,"Tijuana , Baja California",117.0,32.5149469,-117.0382471
152,"Unión Juárez, Chiapas",15.071193,-92.091311,"Palenque , Chiapas",146.0,17.5229209,-91.9872616
153,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Acayucan , Veracruz de Ignacio de la Llave",150.0,17.949192,-94.91459739999999
154,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Piedras Negras , Coahuila de Zaragoza",151.0,28.6916182,-100.5408622
155,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Coyoacán , Distrito Federal",154.0,19.3437444,-99.1561883
156,"Unión Juárez, Chiapas",15.071193,-92.091311,"Juárez , Chihuahua",179.0,31.6903638,-106.4245478
157,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Arriaga , Chiapas",186.0,16.2371385,-93.8986279
158,"El Martillo, Tabasco",17.278333,-91.021111,"Heroica Matamoros , Tamaulipas",190.0,25.8690294,-97.50273759999999
159,"El Ceibo, Tabasco",17.261546,-90.994378,"Tapachula de Córdova y Ordóñez , Chiapas",207.0,14.9055567,-92.26341359999999
160,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Nuevo Laredo , Tamaulipas",256.0,27.4779362,-99.549573
161,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Tuxtla Gutiérrez , Chiapas",261.0,16.7516009,-93.1029939
162,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Heróica Puebla de Zaragoza , Puebla",263.0,19.0414398,-98.2062727
163,"Talismán, Chiapas",14.962767999999999,-92.148176,"Chiapa de Corzo , Chiapas",270.0,16.7021616,-93.0081378
164,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Villahermosa , Tabasco",297.0,17.989456,-92.9475061
165,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Altar , Sonora",356.0,30.714148,-111.8354941
166,"El Ceibo, Tabasco",17.261546,-90.994378,"Veracruz , Veracruz de Ignacio de la Llave",381.0,19.173773,-96.1342241
167,"El Ceibo, Tabasco",17.261546,-90.994378,"Monterrey , Nuevo León",690.0,25.6866142,-100.3161126
168,"El Ceibo, Tabasco",17.261546,-90.994378,"Reynosa , Tamaulipas",2942.0,26.0508406,-98.29789509999999
